id,time,values,aqi,pollution
01,2023:03:12 14:24:22,381.2,415,Extremely hazardous
02,2023:03:12 14:24:22,454.4,452,Extremely hazardous
03,2023:03:12 14:24:22,235.6,285,Very unhealthy
04,2023:03:12 14:24:22,10.5,44,Good
05,2023:03:12 14:24:22,364.2,407,Extremely hazardous
06,2023:03:12 14:24:22,361.5,406,Extremely hazardous
07,2023:03:12 14:24:22,230.7,280,Very unhealthy
08,2023:03:12 14:24:22,251.3,301,Hazardous
09,2023:03:12 14:24:22,261.6,311,Hazardous
10,2023:03:12 14:24:22,213.3,263,Very unhealthy
01,2023:03:12 14:25:12,247.2,297,Very unhealthy
02,2023:03:12 14:25:12,429.5,440,Extremely hazardous
03,2023:03:12 14:25:12,419.8,435,Extremely hazardous
04,2023:03:12 14:25:12,167.2,217,Very unhealthy
05,2023:03:12 14:25:12,25.7,79,Moderate
06,2023:03:12 14:25:12,4.5,19,Good
07,2023:03:12 14:25:12,69.7,157,Unhealthy
08,2023:03:12 14:25:12,195.8,245,Very unhealthy
09,2023:03:12 14:25:12,241.7,291,Very unhealthy
10,2023:03:12 14:25:12,235.8,285,Very unhealthy
01,2023:03:12 14:26:02,463.2,456,Extremely hazardous
02,2023:03:12 14:26:02,445.3,447,Extremely hazardous
03,2023:03:12 14:26:02,162.2,212,Very unhealthy
04,2023:03:12 14:26:02,109.7,179,Unhealthy
05,2023:03:12 14:26:02,457.1,453,Extremely hazardous
06,2023:03:12 14:26:02,297.1,347,Hazardous
07,2023:03:12 14:26:02,69.5,157,Unhealthy
08,2023:03:12 14:26:02,117.5,183,Unhealthy
09,2023:03:12 14:26:02,210.2,260,Very unhealthy
10,2023:03:12 14:26:02,242.3,292,Very unhealthy
01,2023:03:12 14:26:52,81.8,164,Unhealthy
02,2023:03:12 14:26:52,421.7,436,Extremely hazardous
03,2023:03:12 14:26:52,481.4,465,Extremely hazardous
04,2023:03:12 14:26:52,374.6,412,Extremely hazardous
05,2023:03:12 14:26:52,353.0,401,Extremely hazardous
06,2023:03:12 14:26:52,514.8,482,Extremely hazardous
07,2023:03:12 14:26:52,495.4,472,Extremely hazardous
08,2023:03:12 14:26:52,284.2,334,Hazardous
09,2023:03:12 14:26:52,469.8,460,Extremely hazardous
10,2023:03:12 14:26:52,545.4,497,Extremely hazardous
01,2023:03:12 14:27:42,515.4,482,Extremely hazardous
02,2023:03:12 14:27:42,489.1,469,Extremely hazardous
03,2023:03:12 14:27:42,233.9,283,Very unhealthy
04,2023:03:12 14:27:42,189.0,239,Very unhealthy
05,2023:03:12 14:27:42,385.9,418,Extremely hazardous
06,2023:03:12 14:27:42,132.5,191,Unhealthy
07,2023:03:12 14:27:42,538.1,494,Extremely hazardous
08,2023:03:12 14:27:42,126.5,187,Unhealthy
09,2023:03:12 14:27:42,390.6,420,Extremely hazardous
10,2023:03:12 14:27:42,66.0,156,Unhealthy
01,2023:03:12 14:28:32,129.4,189,Unhealthy
02,2023:03:12 14:28:32,531.9,491,Extremely hazardous
03,2023:03:12 14:28:32,411.3,430,Extremely hazardous
04,2023:03:12 14:28:32,9.2,38,Good
05,2023:03:12 14:28:32,447.4,448,Extremely hazardous
06,2023:03:12 14:28:32,300.7,350,Hazardous
07,2023:03:12 14:28:32,96.8,172,Unhealthy
08,2023:03:12 14:28:32,159.9,209,Very unhealthy
09,2023:03:12 14:28:32,1.3,5,Good
10,2023:03:12 14:28:32,172.5,222,Very unhealthy
01,2023:03:12 14:29:22,100.6,174,Unhealthy
02,2023:03:12 14:29:22,158.5,208,Very unhealthy
03,2023:03:12 14:29:22,298.7,348,Hazardous
04,2023:03:12 14:29:22,440.4,445,Extremely hazardous
05,2023:03:12 14:29:22,177.6,227,Very unhealthy
06,2023:03:12 14:29:22,16.6,60,Moderate
07,2023:03:12 14:29:22,402.6,426,Extremely hazardous
08,2023:03:12 14:29:22,212.2,262,Very unhealthy
09,2023:03:12 14:29:22,487.2,468,Extremely hazardous
10,2023:03:12 14:29:22,510.3,480,Extremely hazardous
01,2023:03:12 14:30:12,129.5,189,Unhealthy
02,2023:03:12 14:30:12,502.5,476,Extremely hazardous
03,2023:03:12 14:30:12,229.6,279,Very unhealthy
04,2023:03:12 14:30:12,345.0,395,Hazardous
05,2023:03:12 14:30:12,162.2,212,Very unhealthy
06,2023:03:12 14:30:12,149.6,200,Unhealthy
07,2023:03:12 14:30:12,49.7,136,Slightly unhealthy
08,2023:03:12 14:30:12,31.6,92,Moderate
09,2023:03:12 14:30:12,141.5,195,Unhealthy
10,2023:03:12 14:30:12,314.9,364,Hazardous
01,2023:03:12 14:31:02,459.8,455,Extremely hazardous
02,2023:03:12 14:31:02,536.4,493,Extremely hazardous
03,2023:03:12 14:31:02,333.6,383,Hazardous
04,2023:03:12 14:31:02,303.6,353,Hazardous
05,2023:03:12 14:31:02,130.4,189,Unhealthy
06,2023:03:12 14:31:02,359.8,405,Extremely hazardous
07,2023:03:12 14:31:02,439.9,445,Extremely hazardous
08,2023:03:12 14:31:02,519.0,484,Extremely hazardous
09,2023:03:12 14:31:02,299.4,349,Hazardous
10,2023:03:12 14:31:02,218.6,268,Very unhealthy
01,2023:03:12 14:31:52,26.8,81,Moderate
02,2023:03:12 14:31:52,383.7,417,Extremely hazardous
03,2023:03:12 14:31:52,23.4,74,Moderate
04,2023:03:12 14:31:52,367.6,409,Extremely hazardous
05,2023:03:12 14:31:52,378.9,414,Extremely hazardous
06,2023:03:12 14:31:52,197.6,247,Very unhealthy
07,2023:03:12 14:31:52,73.8,160,Unhealthy
08,2023:03:12 14:31:52,29.3,87,Moderate
09,2023:03:12 14:31:52,543.1,496,Extremely hazardous
10,2023:03:12 14:31:52,405.6,428,Extremely hazardous
01,2023:03:12 14:32:42,393.3,421,Extremely hazardous
02,2023:03:12 14:32:42,531.9,491,Extremely hazardous
03,2023:03:12 14:32:42,8.3,35,Good
04,2023:03:12 14:32:42,0.4,2,Good
05,2023:03:12 14:32:42,237.6,287,Very unhealthy
06,2023:03:12 14:32:42,295.3,345,Hazardous
07,2023:03:12 14:32:42,385.1,417,Extremely hazardous
08,2023:03:12 14:32:42,315.2,365,Hazardous
09,2023:03:12 14:32:42,471.0,460,Extremely hazardous
10,2023:03:12 14:32:42,383.7,417,Extremely hazardous
01,2023:03:12 14:33:32,505.5,478,Extremely hazardous
02,2023:03:12 14:33:32,372.3,411,Extremely hazardous
03,2023:03:12 14:33:32,204.0,254,Very unhealthy
04,2023:03:12 14:33:32,54.8,148,Slightly unhealthy
05,2023:03:12 14:33:32,282.7,332,Hazardous
06,2023:03:12 14:33:32,285.1,335,Hazardous
07,2023:03:12 14:33:32,257.8,307,Hazardous
08,2023:03:12 14:33:32,323.8,373,Hazardous
09,2023:03:12 14:33:32,266.6,316,Hazardous
10,2023:03:12 14:33:32,532.9,491,Extremely hazardous
01,2023:03:12 14:34:22,386.1,418,Extremely hazardous
02,2023:03:12 14:34:22,143.0,196,Unhealthy
03,2023:03:12 14:34:22,499.6,475,Extremely hazardous
04,2023:03:12 14:34:22,196.7,246,Very unhealthy
05,2023:03:12 14:34:22,177.4,227,Very unhealthy
06,2023:03:12 14:34:22,5.4,23,Good
07,2023:03:12 14:34:22,409.0,429,Extremely hazardous
08,2023:03:12 14:34:22,410.8,430,Extremely hazardous
09,2023:03:12 14:34:22,133.7,191,Unhealthy
10,2023:03:12 14:34:22,268.1,318,Hazardous
01,2023:03:12 14:35:12,382.5,416,Extremely hazardous
02,2023:03:12 14:35:12,223.5,273,Very unhealthy
03,2023:03:12 14:35:12,305.2,355,Hazardous
04,2023:03:12 14:35:12,354.2,402,Extremely hazardous
05,2023:03:12 14:35:12,353.8,402,Extremely hazardous
06,2023:03:12 14:35:12,371.3,410,Extremely hazardous
07,2023:03:12 14:35:12,269.1,319,Hazardous
08,2023:03:12 14:35:12,210.4,260,Very unhealthy
09,2023:03:12 14:35:12,145.1,197,Unhealthy
10,2023:03:12 14:35:12,195.2,245,Very unhealthy
01,2023:03:12 14:36:02,397.1,423,Extremely hazardous
02,2023:03:12 14:36:02,88.4,167,Unhealthy
03,2023:03:12 14:36:02,483.2,466,Extremely hazardous
04,2023:03:12 14:36:02,59.0,152,Unhealthy
05,2023:03:12 14:36:02,155.3,205,Very unhealthy
06,2023:03:12 14:36:02,253.9,303,Hazardous
07,2023:03:12 14:36:02,353.9,402,Extremely hazardous
08,2023:03:12 14:36:02,411.2,430,Extremely hazardous
09,2023:03:12 14:36:02,7.8,33,Good
10,2023:03:12 14:36:02,85.7,166,Unhealthy
01,2023:03:12 14:36:52,390.9,420,Extremely hazardous
02,2023:03:12 14:36:52,450.9,450,Extremely hazardous
03,2023:03:12 14:36:52,247.5,297,Very unhealthy
04,2023:03:12 14:36:52,371.5,411,Extremely hazardous
05,2023:03:12 14:36:52,239.7,289,Very unhealthy
06,2023:03:12 14:36:52,433.1,441,Extremely hazardous
07,2023:03:12 14:36:52,447.0,448,Extremely hazardous
08,2023:03:12 14:36:52,316.8,366,Hazardous
09,2023:03:12 14:36:52,183.5,233,Very unhealthy
10,2023:03:12 14:36:52,45.2,124,Slightly unhealthy
01,2023:03:12 14:37:42,217.0,267,Very unhealthy
02,2023:03:12 14:37:42,245.8,295,Very unhealthy
03,2023:03:12 14:37:42,30.1,89,Moderate
04,2023:03:12 14:37:42,507.4,478,Extremely hazardous
05,2023:03:12 14:37:42,27.4,83,Moderate
06,2023:03:12 14:37:42,268.2,318,Hazardous
07,2023:03:12 14:37:42,313.9,363,Hazardous
08,2023:03:12 14:37:42,82.0,164,Unhealthy
09,2023:03:12 14:37:42,393.7,422,Extremely hazardous
10,2023:03:12 14:37:42,71.6,158,Unhealthy
01,2023:03:12 14:38:32,402.2,426,Extremely hazardous
02,2023:03:12 14:38:32,338.1,388,Hazardous
03,2023:03:12 14:38:32,118.9,183,Unhealthy
04,2023:03:12 14:38:32,501.9,476,Extremely hazardous
05,2023:03:12 14:38:32,452.8,451,Extremely hazardous
06,2023:03:12 14:38:32,453.2,451,Extremely hazardous
07,2023:03:12 14:38:32,396.5,423,Extremely hazardous
08,2023:03:12 14:38:32,134.5,192,Unhealthy
09,2023:03:12 14:38:32,233.1,283,Very unhealthy
10,2023:03:12 14:38:32,440.8,445,Extremely hazardous
01,2023:03:12 14:39:22,200.0,250,Very unhealthy
02,2023:03:12 14:39:22,262.0,312,Hazardous
03,2023:03:12 14:39:22,195.8,245,Very unhealthy
04,2023:03:12 14:39:22,349.5,399,Hazardous
05,2023:03:12 14:39:22,488.2,469,Extremely hazardous
06,2023:03:12 14:39:22,378.1,414,Extremely hazardous
07,2023:03:12 14:39:22,301.2,351,Hazardous
08,2023:03:12 14:39:22,10.7,45,Good
09,2023:03:12 14:39:22,227.7,277,Very unhealthy
10,2023:03:12 14:39:22,217.7,267,Very unhealthy
01,2023:03:12 14:40:12,22.6,73,Moderate
02,2023:03:12 14:40:12,511.7,481,Extremely hazardous
03,2023:03:12 14:40:12,491.2,470,Extremely hazardous
04,2023:03:12 14:40:12,412.3,431,Extremely hazardous
05,2023:03:12 14:40:12,426.2,438,Extremely hazardous
06,2023:03:12 14:40:12,403.7,427,Extremely hazardous
07,2023:03:12 14:40:12,522.8,486,Extremely hazardous
08,2023:03:12 14:40:12,406.5,428,Extremely hazardous
09,2023:03:12 14:40:12,142.9,196,Unhealthy
10,2023:03:12 14:40:12,529.0,489,Extremely hazardous
01,2023:03:12 14:41:02,524.7,487,Extremely hazardous
02,2023:03:12 14:41:02,21.6,70,Moderate
03,2023:03:12 14:41:02,24.8,77,Moderate
04,2023:03:12 14:41:02,177.9,227,Very unhealthy
05,2023:03:12 14:41:02,509.8,480,Extremely hazardous
06,2023:03:12 14:41:02,108.5,178,Unhealthy
07,2023:03:12 14:41:02,68.2,157,Unhealthy
08,2023:03:12 14:41:02,346.3,396,Hazardous
09,2023:03:12 14:41:02,443.5,447,Extremely hazardous
10,2023:03:12 14:41:02,437.8,444,Extremely hazardous
01,2023:03:12 14:41:52,18.1,63,Moderate
02,2023:03:12 14:41:52,145.9,198,Unhealthy
03,2023:03:12 14:41:52,158.9,208,Very unhealthy
04,2023:03:12 14:41:52,132.9,191,Unhealthy
05,2023:03:12 14:41:52,519.3,484,Extremely hazardous
06,2023:03:12 14:41:52,310.6,360,Hazardous
07,2023:03:12 14:41:52,66.0,156,Unhealthy
08,2023:03:12 14:41:52,198.6,248,Very unhealthy
09,2023:03:12 14:41:52,452.3,451,Extremely hazardous
10,2023:03:12 14:41:52,97.1,172,Unhealthy
01,2023:03:12 14:42:42,62.7,154,Unhealthy
02,2023:03:12 14:42:42,221.8,271,Very unhealthy
03,2023:03:12 14:42:42,514.4,482,Extremely hazardous
04,2023:03:12 14:42:42,71.4,158,Unhealthy
05,2023:03:12 14:42:42,498.7,474,Extremely hazardous
06,2023:03:12 14:42:42,192.5,242,Very unhealthy
07,2023:03:12 14:42:42,412.5,431,Extremely hazardous
08,2023:03:12 14:42:42,289.0,339,Hazardous
09,2023:03:12 14:42:42,227.7,277,Very unhealthy
10,2023:03:12 14:42:42,179.2,229,Very unhealthy
01,2023:03:12 14:43:32,241.2,291,Very unhealthy
02,2023:03:12 14:43:32,282.7,332,Hazardous
03,2023:03:12 14:43:32,138.2,194,Unhealthy
04,2023:03:12 14:43:32,191.8,241,Very unhealthy
05,2023:03:12 14:43:32,448.8,449,Extremely hazardous
06,2023:03:12 14:43:32,2.6,11,Good
07,2023:03:12 14:43:32,493.7,472,Extremely hazardous
08,2023:03:12 14:43:32,531.9,491,Extremely hazardous
09,2023:03:12 14:43:32,7.6,32,Good
10,2023:03:12 14:43:32,75.3,160,Unhealthy
01,2023:03:12 14:44:22,468.6,459,Extremely hazardous
02,2023:03:12 14:44:22,48.0,131,Slightly unhealthy
