ID,TIME,VALUE,AQI,POLLUTION
238,,0.0,0,Good
144,1970:02:19 15:29:52,0.0,43690,
208,1970:02:19 15:29:52,0.0,61166,
224,1970:02:19 15:29:52,0.0,43690,
208,1970:02:19 16:42:24,0.0,43690,
208,1970:02:19 16:42:24,0.0,43690,
208,1970:02:19 16:42:24,0.0,43690,
208,1970:02:19 17:54:56,0.0,43690,
208,1970:02:19 17:54:56,0.0,43690,
208,1970:02:19 17:54:56,0.0,43690,
208,1970:02:19 19:07:28,0.0,43690,
208,1970:02:19 19:07:28,0.0,43690,
208,1970:02:19 19:07:28,0.0,43690,
208,1970:02:19 20:20:00,0.0,43690,
208,1970:02:19 20:20:00,0.0,43690,
208,1970:02:19 20:20:00,0.0,61166,
224,1970:02:19 21:32:32,0.0,61166,
224,1970:02:19 21:32:32,0.0,43690,
208,1970:02:19 21:32:32,0.0,43690,
208,1970:02:19 22:45:04,0.0,43690,
208,1970:02:19 22:45:04,0.0,43690,
208,1970:02:19 22:45:04,0.0,43690,
208,1970:02:19 23:57:36,0.0,43690,
208,1970:02:19 23:57:36,0.0,61166,
224,1970:02:19 23:57:36,0.0,43690,
208,1970:02:20 01:10:08,0.0,61166,
224,1970:02:20 01:10:08,0.0,43690,
208,1970:02:20 01:10:08,0.0,61166,
224,1970:02:20 08:29:36,0.0,61166,
224,1970:02:20 08:29:36,0.0,43690,
208,1970:02:20 08:29:36,0.0,61166,
224,1970:02:20 09:42:08,0.0,61166,
224,1970:02:20 09:42:08,0.0,43690,
208,1970:02:20 09:42:08,0.0,61166,
224,1970:02:20 10:54:40,0.0,43690,
208,1970:02:20 10:54:40,0.0,43690,
208,1970:02:20 10:54:40,0.0,43690,
208,1970:02:20 12:07:12,0.0,43690,
208,1970:02:20 12:07:12,0.0,43690,
208,1970:02:20 12:07:12,0.0,43690,
208,1970:03:02 23:21:20,0.0,43690,
208,1970:03:02 23:21:20,0.0,43690,
208,1970:03:02 23:21:20,0.0,43690,
208,1970:03:03 00:33:52,0.0,43690,
